id,user_id,diag_student_id,created_date,self_efficacy,math_self_efficacy,in_goal_Orientation,out_goal_Orientation,learning_readiness,learning_ability,parent_communication,test_anxiety,math_anxiety,academy_relies
24,,16,2016-06-08,13,13,7,5,20,47,22,30,10,0
25,,16,2016-06-08,21,6,5,5,30,54,23,12,12,12
26,,18,2016-06-08,13,13,7,7,17,27,23,25,14,18
27,,20,2016-07-07,16,15,8,7,17,29,25,24,18,18
28,,21,2016-07-09,16,16,12,6,21,38,31,21,7,9
29,,21,2016-07-09,16,16,12,6,21,38,31,21,7,9
30,,22,2016-07-09,15,12,10,6,22,50,40,13,6,5
31,,19,2016-07-11,14,16,9,5,15,38,31,30,9,17
32,,19,2016-07-11,14,14,15,15,30,54,24,39,12,36
33,,19,2016-07-11,21,22,15,15,20,40,20,30,12,28
34,,19,2016-07-11,20,19,10,6,22,50,40,13,6,5
35,,23,2016-07-12,11,13,6,11,10,36,21,27,12,20
36,,24,2016-07-12,20,14,12,9,22,35,24,29,10,31
37,,26,2016-07-19,16,20,6,9,15,33,9,36,14,6
38,,27,2016-07-19,13,12,8,10,15,27,20,28,14,14
39,,28,2016-07-21,20,15,6,8,18,44,34,16,13,11
40,,29,2016-07-22,20,15,7,9,15,39,31,25,10,16
41,,30,2016-07-23,11,15,8,10,16,36,23,29,13,17
42,53.0,18,2016-07-29,17,16,10,10,21,27,22,30,12,12
43,5.0,32,2016-07-29,15,16,9,7,17,39,20,29,11,18
44,53.0,18,2016-07-29,6,21,10,10,30,54,24,29,12,36
45,5.0,33,2016-08-04,19,18,10,4,17,38,26,21,9,14
46,5.0,34,2016-08-06,18,12,8,7,10,26,20,21,12,12
47,78.0,38,2016-08-09,15,14,13,9,18,39,18,27,14,14
48,87.0,40,2016-08-11,22,24,15,7,29,56,37,16,2,12
49,5.0,41,2016-08-11,17,14,8,6,17,45,24,32,15,14
50,122.0,42,2016-08-11,19,15,14,5,16,44,35,33,14,15
51,78.0,43,2016-08-12,10,9,6,6,14,26,27,30,16,18
52,5.0,45,2016-08-19,17,15,10,8,17,39,22,27,11,16
53,78.0,46,2016-08-22,22,17,10,7,21,40,41,21,10,7
54,78.0,47,2016-08-22,13,9,13,14,14,36,16,26,1,4
55,78.0,48,2016-08-22,15,18,13,5,12,43,6,9,5,9
56,87.0,49,2016-08-24,14,19,9,7,18,42,23,23,6,15
57,50.0,50,2016-08-24,22,23,15,5,26,51,29,11,0,2
58,50.0,52,2016-08-30,16,12,7,2,11,30,23,24,13,11
59,78.0,53,2016-08-31,25,23,14,8,21,46,25,18,3,5
60,78.0,54,2016-08-31,16,18,9,7,16,38,28,24,10,15
61,78.0,55,2016-08-31,25,23,8,10,22,51,36,20,5,5
62,87.0,56,2016-08-31,14,17,8,9,11,18,1,23,10,28
63,87.0,57,2016-08-31,20,22,12,8,16,41,28,20,5,11
64,79.0,58,2016-09-01,15,14,10,6,14,35,22,26,12,5
65,50.0,61,2016-09-24,16,15,4,9,20,33,31,20,17,13
66,87.0,65,2016-09-28,18,18,10,8,19,42,28,10,4,14
67,50.0,66,2016-10-03,23,19,11,9,19,41,23,23,9,17
68,128.0,68,2016-10-13,17,12,6,4,11,28,33,15,8,9
69,128.0,69,2016-10-13,23,25,10,10,22,59,34,12,7,5
70,130.0,70,2016-10-14,25,23,12,9,23,50,38,11,1,7
71,130.0,71,2016-10-14,14,19,6,3,14,38,37,23,8,9
72,80.0,72,2016-10-15,16,13,7,8,10,29,17,29,10,12
73,130.0,80,2016-10-17,22,25,15,2,20,52,31,21,0,15
74,130.0,78,2016-10-17,18,19,8,8,19,50,30,13,5,17
75,42.0,37,2016-10-17,17,19,6,7,15,39,19,28,12,18
76,87.0,82,2016-10-17,17,15,5,10,12,25,18,29,15,15
77,130.0,81,2016-10-17,17,16,9,10,16,44,32,24,8,14
78,130.0,83,2016-10-17,13,10,10,4,14,37,15,28,18,13
79,133.0,84,2016-10-17,19,18,10,8,21,44,28,21,8,15
80,133.0,85,2016-10-17,22,25,12,6,30,61,42,11,4,4
81,130.0,86,2016-10-17,18,13,6,2,13,39,26,16,11,12
82,133.0,88,2016-10-18,22,26,15,6,26,58,38,13,1,7
83,130.0,89,2016-10-18,12,14,10,7,14,35,26,20,13,18
84,87.0,91,2016-10-19,16,15,10,7,11,32,17,30,16,11
85,130.0,90,2016-10-19,21,24,8,10,22,46,37,28,4,18
86,130.0,92,2016-10-19,21,20,13,7,20,45,19,15,7,15
87,130.0,93,2016-10-19,12,12,8,9,16,44,25,20,6,21
88,130.0,94,2016-10-19,19,21,11,13,25,53,40,28,7,15
89,130.0,95,2016-10-19,18,18,11,2,21,41,23,13,5,14
90,130.0,96,2016-10-19,16,19,10,6,15,45,32,15,6,17
91,133.0,98,2016-10-20,11,12,6,11,14,34,16,23,10,9
92,87.0,99,2016-10-20,16,15,10,7,11,32,17,30,16,11
93,133.0,97,2016-10-20,23,24,14,2,24,53,39,11,4,20
94,133.0,101,2016-10-21,21,18,11,13,21,51,41,19,5,23
95,130.0,100,2016-10-21,11,14,8,6,14,37,21,25,8,18
96,130.0,105,2016-10-21,24,21,13,7,20,51,36,19,4,11
97,130.0,106,2016-10-21,25,23,12,8,22,60,35,10,1,9
98,130.0,107,2016-10-21,19,11,10,7,20,42,26,18,12,7
99,130.0,108,2016-10-21,22,22,15,10,26,57,41,17,5,12
100,130.0,109,2016-10-21,25,24,14,7,26,59,32,13,2,8
101,133.0,110,2016-10-22,21,25,10,6,26,52,42,11,2,9
102,133.0,111,2016-10-22,24,12,8,2,23,37,36,14,11,0
103,133.0,113,2016-10-22,15,15,8,7,16,35,28,27,13,13
104,5.0,116,2016-10-22,21,6,0,0,3,45,22,12,12,21
105,130.0,115,2016-10-22,18,18,8,6,19,43,19,19,10,9
106,130.0,114,2016-10-22,21,20,12,5,30,55,36,33,12,3
107,133.0,112,2016-10-22,21,27,15,6,26,62,42,11,2,16
108,130.0,117,2016-10-22,10,12,5,15,18,34,26,42,10,23
109,130.0,118,2016-10-22,16,16,9,10,16,41,25,26,9,8
110,130.0,120,2016-10-22,23,27,12,7,27,61,42,7,1,3
111,130.0,119,2016-10-22,14,11,8,8,11,31,32,24,14,20
112,130.0,121,2016-10-22,5,11,2,9,4,13,13,35,13,32
113,130.0,122,2016-10-22,16,16,8,6,16,40,28,24,7,12
114,78.0,123,2016-10-23,24,23,8,10,19,51,38,17,5,14
115,133.0,124,2016-10-24,17,13,9,7,20,38,40,22,10,11
116,133.0,125,2016-10-24,26,25,15,0,30,62,42,6,0,7
117,87.0,126,2016-10-24,14,2,5,2,18,36,22,25,9,9
118,87.0,127,2016-10-24,25,21,14,10,24,51,41,13,2,13
