번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
589,12126,19710,6,1,5,4.67,4.14,5,3.83,1,-7.45,4,4.25,3,2,3,2.4,2,2.47,4.67,2.5,3,3.39,1,1,2.6,1,1.4,3,3.8,3.1,1.43
658,13665,29844,6,1,4,4,4.14,5.5,3.33,1.33,-7.79,4.5,3,1.6,1.8,3.67,4,4.8,4.16,4.5,5.17,5,4.89,3.4,3,2.6,2.4,2.85,4.75,1,5.38,3.14
700,14660,31391,5,1,4.33,4.56,4,5.25,4.33,1,-6.92,4,4,2,2.2,3.78,3.8,4.4,3.99,4.33,3,3.2,3.51,2.2,2.2,1.6,1.8,1.95,4.25,1.8,4.73,2.29
155,4379,21190,5,1,5.22,5.33,5.57,5.5,4.33,1,-10.31,5.5,4,2.6,1,4.89,5.6,5,5.16,5.17,5.33,5,5.17,2,3,3,1.6,2.4,5.5,1.8,5.35,2.14
313,7677,22078,5,1,4.33,4.11,4,4.75,2.33,2,-6.42,4,2,2.6,3.2,3.78,3.2,4,3.66,4.67,4,4,4.22,2.2,3,1.8,3.2,2.55,3.5,2.8,3.85,2.57
324,7746,13015,4,1,3.33,4,2.29,2.5,3.17,4.67,5.43,2.17,3.25,5,3.6,1.11,2.6,2.8,2.17,2.33,2.33,2.6,2.42,4.4,4.4,4.4,4.4,4.4,3,3.8,3.1,3.86
413,9388,913,5,1,4.56,4.56,4.71,4.75,3.17,1.33,-8.35,4.67,3,1.2,2.2,4.44,4.2,4,4.21,4,3.83,3.4,3.74,2.6,3.2,2,2,2.45,3.75,1.6,4.58,2.14
485,10574,24019,6,1,3.56,2,2.71,4.75,2,2,-4.18,2.67,2.25,5.2,4.2,1,2.2,1,1.4,3.83,2.5,4.6,3.64,4.6,6,3.4,6,5,4.5,2.4,4.55,2.86
486,10577,24054,6,1,4.22,2.89,3.71,6,3.67,2,-5.76,3.67,3,3.2,4,2.56,4,2.2,2.92,4,3.33,3,3.44,2.4,3.6,2.2,3,2.8,4,2.6,4.2,2.71
487,10578,23747,6,1,3.78,3.33,3.29,3.25,3,2.67,-1.49,3.5,3,3,3.4,3.44,3,3,3.15,3,2.67,2.8,2.82,2.2,2.6,2.4,2.8,2.5,2.5,3.8,2.85,2.86
494,10685,23839,4,1,4.78,3.67,4.43,6,1.17,1.33,-11.02,4.33,1,3.2,2,4.78,5,3,4.26,5.5,5.33,4.6,5.14,2.4,4.4,2.4,3.4,3.15,5.5,1.4,5.55,4
536,11099,24303,6,1,3.89,4.22,4.29,4.75,4,3.67,-1.99,4.33,4.25,4.6,3.2,4.78,4.2,3,3.99,4.67,4,3.4,4.02,2.4,3.2,4,3.2,3.2,3.75,3.6,3.58,3.71
603,12373,25174,5,1,4.22,4.78,5,4.5,2.17,1,-10.33,5,1.75,3,2.4,3.56,4.6,3.6,3.92,4.67,4.17,4.4,4.41,1.4,2.4,2.6,2,2.1,4.5,3.2,4.15,3
363,8363,23600,5,1,4.22,4.89,5,5.5,4,3.67,-4.17,5,3,1.4,2.8,3.33,5.4,4.4,4.38,4.5,4.33,3.6,4.14,3.2,3.8,2.2,5.2,3.6,5.25,3.8,4.23,4.43
606,12506,6018,1,1,4.67,4.56,3.71,4.5,4,3,-1.93,3.83,3.5,3.6,4.4,3.22,2.8,3.2,3.07,2.83,2.67,2.8,2.77,1.6,2.8,1.6,1.8,1.95,3.25,1.2,4.53,3.14
86,3730,7445,5,1,4.89,4.67,4.29,4.25,4,2,-4.82,4.33,3.75,2.4,2.8,4,4,3.8,3.93,3.17,2.67,3,2.94,2.4,2.8,2,2.4,2.4,3.5,3,3.75,3.57
400,9222,23770,5,1,3.67,3.67,3.29,5.25,2.5,1,-7.32,3,1.75,1.2,3.2,3.56,3.4,4.8,3.92,3.5,3.83,2,3.11,5,5,1,4.2,3.8,2.25,1,4.13,1.86
613,12527,19791,3,1,3.67,4.67,2.14,4.5,2.67,2.33,-1.45,1.5,2.25,2,3.4,4.56,3,3.8,3.79,4.5,3.67,3.6,3.92,3.6,2,1,2.8,2.35,4.5,2,4.75,2.57
238,6087,21389,5,1,3.33,3.22,4.29,4,2.67,2,-5.9,4.33,2.25,2.6,2.2,3.56,3.8,3.6,3.65,3.5,3.83,3.4,3.58,1.8,3.2,3,1.2,2.3,3.5,2.2,4.15,2.57
676,14018,27675,5,1,4.22,4.89,4.86,5.75,4,1.33,-8.8,4.83,3.75,3.2,2.6,5.67,5,4.6,5.09,4.67,5,5.2,4.96,4.2,4.2,4.4,4,4.2,4.25,3.2,4.03,3.71
81,3718,914,4,1,4.44,4.56,3.86,4.75,1.67,1,-8.8,3.67,1.25,1,2.2,3.44,3,2.6,3.01,2.33,2.83,2.8,2.66,1.2,1,1,1.6,1.2,4,1.8,4.6,2.86
251,6490,21872,5,1,5.89,5.44,5.86,6,4.67,1,-11.05,5.83,4,1,1,5.78,5,5,5.26,5,5.33,5.2,5.18,1,1,2.2,1,1.3,5.75,2.8,4.98,1
496,10690,24114,6,1,3.22,5.22,6,5.75,5.83,2,-7.92,6,5.75,2.8,3,5.89,5.6,3.4,4.96,5.17,5,4.4,4.86,1.6,5.8,4.2,3.8,3.85,5.25,4,4.13,3
349,8115,22811,4,1,4.22,4.11,4.43,5,4.17,2,-5.69,4.5,3.25,1.2,3.2,2.67,4.2,3.6,3.49,4.67,3.17,5,4.28,5.2,4.8,6,4.8,5.2,4.25,5.2,3.03,4.29
390,9094,23432,6,1,5.11,4.22,4.29,3.75,3,1,-7.32,4.5,2.75,2,2.2,3.44,4,4.6,4.01,4,3.67,3.6,3.76,2,2,1.4,2,1.85,4,2.2,4.4,3.29
783,16668,33031,6,1,4.11,3.78,3.29,3.75,3,2.67,-1.99,3.17,2.5,3,3.2,3.22,3.2,3,3.14,3.67,3,3,3.22,2.4,3.2,3.2,3.2,3,3,3.6,3.2,3.14
351,8125,22998,6,1,4.89,5.33,5.71,5.75,2.17,1,-13.01,5.83,1.75,1.4,1.4,5.44,5.6,5.8,5.61,5.5,5.17,5.6,5.42,1.8,2.4,1,1,1.55,5.25,1.4,5.43,1.71
427,9567,23612,6,1,3.33,3.44,4.43,3,2.83,2,-5.02,4.5,3,5,4.2,2.44,3.4,1.8,2.55,3,2.83,3.2,3.01,1.4,2.4,3.6,1.6,2.25,2.5,4.2,2.65,3
704,14708,31345,6,1,4.11,3.22,2.57,4.5,5.17,2.67,0.86,2.17,6,3,3.2,1,2.4,3,2.13,2,2.67,4.2,2.96,2.2,1.6,1.8,1,1.65,3.5,3.2,3.65,4.43
782,16667,33030,6,1,4.22,4.44,5,4.75,4.17,3,-4.58,5,4.25,4,3.2,3.89,4,3.4,3.76,4.17,3.33,3.2,3.57,2,3.4,3.4,2,2.7,3,3,3.5,2.71
315,7697,22433,4,1,3.22,3.22,2.71,3.75,2.5,3.67,0.65,2.67,2.25,2.8,3.6,3,3,3.2,3.07,3.17,3.33,3,3.17,3.6,4.6,3.4,4.4,4,3,3.2,3.4,3.29
784,16677,32018,6,1,4.78,4.67,3.14,5,2,1,-7.29,3.33,1.75,1.2,2,2.56,3.8,3.8,3.39,4,3.83,4,3.94,1.4,2.2,1.2,1.8,1.65,4,2.4,4.3,2
785,16683,33074,6,1,4.56,4.67,3.57,5.75,1.67,1,-9.23,3.33,1.75,1.4,2.8,3.56,4,3.4,3.65,4.5,3.5,4.2,4.07,1,2.2,1.8,1,1.5,5.25,1.8,5.23,2.71
475,10480,19862,5,1,2.89,3.33,3.57,3.5,2.33,1.67,-4.98,3.5,2,1.8,2.8,2.44,3.6,2.6,2.88,3.67,3,2.6,3.09,4,4.2,2.2,2,3.1,3,3,3.5,5.29
46,3157,1642,6,1,4.44,5.56,5.57,6,3.5,1,-11.64,5.5,3.25,2.4,1,5.11,5.8,5.4,5.44,6,6,6,6,6,6,2.6,6,5.15,4.5,3,4.25,3.57
685,14207,31177,4,1,4.67,4.33,3,3.25,2.5,1.67,-3.42,2.83,3,2.6,4,2,4.6,3.2,3.27,3.5,2.67,2.8,2.99,1,1.8,1,1,1.2,3.5,2.2,4.15,2.71
71,3679,7420,5,1,3.44,3.56,3.29,4.5,1,2.33,-5.4,3.33,1,3.2,3.4,4,3.2,3.2,3.47,3.67,2.5,4,3.39,5,5,3.8,5.4,4.8,2.5,3.6,2.95,3.43
277,6928,25392,6,1,4.33,4.44,3.14,5.25,2.67,1,-6.87,3,2,1.8,4,2,3.2,3.4,2.87,4.67,3,3.4,3.69,1.6,1,1,1,1.15,4.75,1.4,5.18,3.29
415,9392,22512,5,1,3.89,3.78,3.71,4.75,4.17,1.33,-5.35,3.67,4,3.8,3.8,2.78,4.2,3.4,3.46,4,2.83,3.4,3.41,1,2.8,3.4,2,2.3,3.75,2.6,4.08,3.14
336,7950,24164,6,1,5.44,6,6,5.25,3.83,1.67,-10.08,6,4,2.2,5,2.44,4,4,3.48,6,4.83,2.4,4.41,1,5,2,1,2.25,6,2,5.5,3.86
749,15792,31946,6,1,3.22,3.44,4.71,5.25,3.5,2.33,-6.51,4.83,3.5,4.6,2.4,4.33,4.6,3.4,4.11,3.33,4.83,4.2,4.12,2.6,3.8,3.6,3.2,3.3,4,4,3.5,3.29
82,3723,7444,4,1,4.78,4.89,3.71,4.5,1.67,1.33,-7.6,3.83,1.25,1.4,2.2,3.11,2.2,3,2.77,3.67,3.17,2.2,3.01,1,2.8,2.2,1.2,1.8,4.75,1.6,5.08,2
347,8104,23069,5,1,4.67,4,4,3.5,3.17,3,-2.33,4,3,3.6,3.4,3.67,4,3.4,3.69,3.33,3.5,3.2,3.34,2.4,2.2,2,3.2,2.45,3,3.6,3.2,3.43
615,12579,25272,3,1,4,3.44,4.43,5.5,5.67,5.67,2.64,4.83,5.75,3.8,3.2,2.56,4.2,3.8,3.52,4.5,5,4.6,4.7,1.4,2.2,5,3.2,2.95,3.75,3.4,3.68,5.86
192,5532,21353,3,1,3.78,4.22,5,5.75,2.83,2.67,-7.58,5,1.75,1.4,3,4.44,4.6,3.2,4.08,4.5,3.83,3.2,3.84,2.4,3,2.6,2.6,2.65,3.5,3.4,3.55,4.14
439,9814,16292,6,1,3.89,3,2.71,2.25,1.83,4,2.15,2.83,1,4.2,3.2,1.67,2.6,2.4,2.22,2.67,3,2.8,2.82,3,3.8,3.4,3.6,3.45,3.25,3.2,3.53,2.86
456,10332,23899,4,1,5.33,5.33,5,5.75,2.33,1.67,-10.08,5,2,1,1.8,4.67,5.4,4.8,4.96,5,4.83,5,4.94,1.2,1.2,1.2,1,1.15,5.25,1.4,5.43,3.57
593,12191,25038,4,1,3.89,4.22,2,2.75,2.5,4.33,4.42,1.83,2.25,2.8,1.6,6,3.8,2,3.93,1.83,2.5,2.2,2.18,2,4.4,2,3,2.85,2.25,3,3.13,1.86
780,16603,32958,6,1,4.78,4.78,5.29,5.75,4.17,1.33,-9.49,5.33,4.5,1.8,1.4,4.22,4.6,2.6,3.81,4.83,4,2.6,3.81,2.6,3.2,3,1.4,2.55,4.5,3,4.25,2
440,9815,16294,6,1,5.44,5.33,5,5,2.5,1,-10.5,5,2.25,1.2,2.2,4.89,5.4,4,4.76,3.5,4.33,5.2,4.34,1.6,1.4,1.2,1,1.3,5.5,1.2,5.65,1.29
585,12020,24683,5,1,4.11,4,3.86,5,3.83,4.33,-0.21,4.17,3.75,6,3.6,5.78,3.8,3.8,4.46,3.83,2.17,2.8,2.93,5.2,6,6,5.4,5.65,5.75,3.6,4.58,2.57
250,6450,3656,3,1,5.78,6,6,6,6,6,0,6,6,3.2,3,6,6,6,6,5.17,6,6,5.72,1,1,4,1,1.75,6,2,5.5,3.86
666,13774,3070,4,1,4.44,4.22,3.57,5.25,2.67,2.67,-4.39,3.67,2.5,2.6,1.8,5,4,2.2,3.73,3.83,3,1.6,2.81,1,1.6,1.6,1,1.3,1.75,6,1.38,3.43
40,3133,1441,6,1,4.78,3.89,3.86,5,3,3,-3.71,3.83,2,1.8,2.8,3.44,4,4.2,3.88,4.33,3.83,3.8,3.99,2.6,3.4,2.6,3,2.9,4.25,2.2,4.53,2.29
268,6783,21982,4,1,5,5.78,5.29,5.25,3.83,3.67,-4.65,5.33,4.5,3,3.6,3.56,4,2.8,3.45,5,4.33,4.8,4.71,1.4,1.6,1.4,1.2,1.4,3.25,1,4.63,2.43
196,5718,21486,3,1,3.33,4.11,4.86,5,2.67,2,-8.05,5,2.25,5.2,3.6,1.33,2.4,1.8,1.84,3.17,2.67,3,2.94,3.6,5.8,4.8,6,5.05,4,3,4,4.14
262,6725,21812,4,1,4,3.89,3.71,4.25,3.67,1,-6.01,3.5,3.5,1.2,2.2,3.56,3.2,4.2,3.65,3.67,3.5,3,3.39,2.4,1.8,1.4,1.2,1.7,6,1.2,5.9,4.14
87,3733,7476,5,1,5.56,5.89,6,4.25,1.83,2.67,-9.08,6,2,1,1.2,6,6,5.4,5.8,5,4.83,5.2,5.01,1,1,1,1,1,5,1,5.5,1.71
288,7226,22170,5,1,4.11,5.56,4.29,4.75,2.83,3,-4.49,4,1.75,2,1,4.33,3,3.4,3.58,3.67,2.17,2.6,2.81,2,2,4,5.6,3.4,2.75,4,2.88,3.14
675,13992,1348,3,1,5.11,4.44,1.71,6,5.5,2.67,1.4,1.83,5.25,1,2.2,1.78,4.4,4.4,3.53,4.5,4.67,4,4.39,6,3.6,4,4.2,4.45,5.75,1.2,5.78,4.29
269,6787,22011,4,1,3.78,3.22,3.29,3.5,2.33,2,-3.74,3.33,2.25,2.8,4,2.11,3.4,2.6,2.7,3.5,3,3,3.17,3.4,2.6,2,3.4,2.85,4,2.2,4.4,2.14
264,6731,21485,5,1,4.67,4.56,5.57,6,2.83,1,-12.31,5.5,3,1.2,2,3.89,4.8,5.4,4.7,5.5,5.33,5.4,5.41,1,2,2.8,1,1.7,4.75,1,5.38,2.14
623,12765,24869,3,1,2.56,3.22,2,2.75,2.5,3.33,2.42,1.67,2.75,2.8,3.8,2,2.4,1.4,1.93,1.5,1.5,1.6,1.53,5.4,6,6,3.8,5.3,1.75,5.6,1.58,2.57
762,16263,32488,6,1,3.67,3.67,2.86,4.5,1.5,4.33,-0.05,3,1.25,3.6,2.6,4.56,4.2,2.2,3.65,3.17,3.33,3.2,3.23,1,1.2,3.2,1.2,1.65,1,5.6,1.2,3.71
402,9239,23351,5,1,3.67,3.11,2.43,2.75,4,4.33,5.06,2.5,4,2.8,4,2,3,3.2,2.73,3.5,3,2.6,3.03,4.4,4.6,4.4,5.6,4.75,2.75,3.8,2.98,3.29
449,10226,23929,5,1,4.78,3.33,2.71,2,1.83,2,-1.6,2.67,1.75,1.2,1.2,3.11,3.6,2.6,3.1,2.33,2.67,2.2,2.4,1,1.2,1,1.2,1.1,4,1.6,4.7,1.29
401,9238,23253,6,1,4.11,5.44,4.71,5.25,4.17,2.67,-5.18,5,3.25,1.4,4.2,2.11,4,3.6,3.24,5.5,3.67,5.2,4.79,1.6,3.2,2.2,1.8,2.2,4,3,4,3
562,11566,24662,4,1,4.33,3.89,4.43,4.25,2.33,1,-8.77,4.5,2.25,1,2.4,3,4.4,3.6,3.67,3,3,3.2,3.07,3.8,3.4,1,2.8,2.75,3,1.6,4.2,4.14
576,11875,24820,4,1,4.56,4.89,5.29,6,4.33,4.33,-3.57,5.33,4,2,2.4,4.44,4.8,4.8,4.68,4.17,4.83,5.2,4.73,2.4,1.2,1.8,2.2,1.9,5,2.4,4.8,2.43
775,16506,32831,6,1,3.33,3,3.43,4.25,2.5,1,-6.61,3.5,1.5,2.4,3.2,3.22,3.2,3.4,3.27,3.83,2.5,3.6,3.31,2.2,3.4,1.4,1,2,3,2.4,3.8,3.57
